title,price,rating_text,link,author,description,genres
A Light in the Attic,£51.77,Three,a-light-in-the-attic_1000/index.html,Shel Silverstein,,
Tipping the Velvet,£53.74,One,tipping-the-velvet_999/index.html,Sarah Waters,,
Soumission,£50.10,One,soumission_998/index.html,Michel Houellebecq,,
Sharp Objects,£47.82,Four,sharp-objects_997/index.html,Gillian Flynn,,
Sapiens: A Brief History of Humankind,£54.23,Five,sapiens-a-brief-history-of-humankind_996/index.html,BookNation,,
The Requiem Red,£22.65,One,the-requiem-red_995/index.html,Brynn Chapman,,
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Don Raskin,,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Unknown,,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,BookNation,,
The Black Maria,£52.15,One,the-black-maria_991/index.html,Aracelis Girmay,,
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,starving-hearts-triangular-trade-trilogy-1_990/index.html,Unknown,,
Shakespeare's Sonnets,£20.66,Four,shakespeares-sonnets_989/index.html,James Schiffer,,
Set Me Free,£17.46,Five,set-me-free_988/index.html,Denise Robins,,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Bryan Lee O'Malley,,
Rip it Up and Start Again,£35.02,Five,rip-it-up-and-start-again_986/index.html,Simon Reynolds,,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Unknown,,
Olio,£23.88,One,olio_984/index.html,Tyehimba Jess,,
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Unknown,,
Libertarianism for Beginners,£51.33,Two,libertarianism-for-beginners_982/index.html,Todd Seavey,,
It's Only the Himalayas,£45.17,Two,its-only-the-himalayas_981/index.html,S. Bedford,,
In Her Wake,£12.84,One,in-her-wake_980/index.html,Amanda Jennings,,
How Music Works,£37.32,Two,how-music-works_979/index.html,Unknown,,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Unknown,,
Chase Me (Paris Nights #2),£25.27,Five,chase-me-paris-nights-2_977/index.html,Unknown,,
Black Dust,£34.53,Five,black-dust_976/index.html,Adrian Phoenix,,
Birdsong: A Story in Pictures,£54.64,Three,birdsong-a-story-in-pictures_975/index.html,Unknown,,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Unknown,,
Aladdin and His Wonderful Lamp,£53.13,Three,aladdin-and-his-wonderful-lamp_973/index.html,Arthur Michell Ransome,,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Unknown,,
Wall and Piece,£44.18,Four,wall-and-piece_971/index.html,Banksy,,
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,"Ruiz, Miguel, 1952-",,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Unknown,,
The Elephant Tree,£23.82,Five,the-elephant-tree_968/index.html,R. D. Ronald,,
The Bear and the Piano,£36.89,One,the-bear-and-the-piano_967/index.html,David Litchfield,,
Sophie's World,£15.94,Five,sophies-world_966/index.html,Unknown,,
Penny Maybe,£33.29,Three,penny-maybe_965/index.html,Kathleen Martin,,
Maude (1883-1993):She Grew Up with the country,£18.02,Two,maude-1883-1993she-grew-up-with-the-country_964/index.html,Unknown,,
"In a Dark, Dark Wood",£19.63,One,in-a-dark-dark-wood_963/index.html,Ruth Ware,,
Behind Closed Doors,£52.22,Four,behind-closed-doors_962/index.html,Jane Donnelly,,
You can't bury them all: Poems,£33.63,Two,you-cant-bury-them-all-poems_961/index.html,Unknown,,
Slow States of Collapse: Poems,£57.31,Three,slow-states-of-collapse-poems_960/index.html,Unknown,,
Reasons to Stay Alive,£26.41,Two,reasons-to-stay-alive_959/index.html,Matt Haig,,
Private Paris (Private #10),£47.61,Five,private-paris-private-10_958/index.html,James Patterson,,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Unknown,,
Without Borders (Wanderlove #1),£45.07,Two,without-borders-wanderlove-1_956/index.html,Unknown,,
When We Collided,£31.77,One,when-we-collided_955/index.html,Emery Lord,,
"We Love You, Charlie Freeman",£50.27,Five,we-love-you-charlie-freeman_954/index.html,Unknown,,
